Category Name,Name,Gross Sales,Sold
Pho,P1. Pho Dac Biet,"$25,285.40",1914
Pho,P4. Pho Tai,"$17,633.10",1368
Pho,P14. Pho Ga,"$13,021.65",1000
Pho,P2. Pho Tai Nam Gau,"$7,239.25",553
Pho,P5. Pho Chin,"$6,238.15",480
Pho,P6. Pho Chin Nam Gau,"$5,753.30",434
Pho,P12. Pho Tai Bo Vien,"$4,663.35",357
Pho,P10. Pho Tai Gau,"$4,431.85",339
Pho,P13. Pho Bo Vien,"$2,670.20",240
Pho,P9. Pho Tai Nam,"$1,724.70",134
Pho,P3. Pho Tai Nam Gan,"$1,502.60",118
Pho,P7. Pho Chin Nam Gan,"$1,487.20",113
Pho,P8. Pho Tai Gan,"$1,080.25",83
Pho,P11. Pho Tai Sach,$711.55,55
Rice,C1. Com Thit Nuong Trung Op La,"$12,900.95",1055
Rice,C3. Con Chien Duong Chau,"$4,280.00",320
Rice,C4. Com Chien,"$4,135.00",320
Rice,C2. Com Ga Nuong,"$3,340.60",272
Appetizer,A2. Goi Cuon,"$7,410.15",1497
Appetizer,A1. Cha Gio,"$6,456.28",1634.5
Appetizer,A6. Grilled Pork Banh Mi,"$4,398.10",678
Appetizer,A3. Goi Cuon Chay,"$1,470.15",297
Appetizer,A4.  Banh Mi Bo Kho,"$1,378.30",154
Appetizer,Side Of Pho Broth,$20.00,10
Bun/ Vermicelli,B1. Bun Tom Thit Nuong Cha Gio,"$9,564.55",698
Bun/ Vermicelli,B2. Bun Thit Nuong,"$3,300.75",270
Bun/ Vermicelli,B5. Bun Chay,"$1,923.95",161
Bun/ Vermicelli,B6. Bun Ga Nuong,"$1,600.65",131
Bun/ Vermicelli,B3. Bun Tom Nuong,"$1,354.65",110
Bun/ Vermicelli,B4. Bun Cha Gio,$368.40,30
Noodle Soup,K3. Bun Bo Hue,"$10,855.75",805
Noodle Soup,K1. Hu Tieu Bo Kho,"$4,033.90",305
Stir Fry,S3. Hu Tieu Xao,"$6,111.50",471
Stir Fry,S2. Rao Cai Xao,"$1,940.40",153
Stir Fry,S1. Ga Xao Xa Ot,"$1,872.40",152
