Category Name,Name,Gross Sales,Sold
Pho,P1. Pho Dac Biet,"$23,822.85",1864
Pho,P4. Pho Tai,"$11,498.40",912
Pho,P2. Pho Tai Nam Gau,"$6,400.55",509
Pho,P5. Pho Chin,"$6,107.50",490
Pho,P6. Pho Chin Nam Gau,"$4,539.85",363
Pho,P12. Pho Tai Bo Vien,"$4,454.25",355
Pho,P10. Pho Tai Gau,"$3,567.75",285
Pho,P13. Pho Bo Vien,"$2,538.00",240
Pho,P14. Pho Ga,"$1,615.45",131
Pho,P9. Pho Tai Nam,"$1,382.45",111
Pho,P3. Pho Tai Nam Gan,"$1,257.00",100
Pho,P7. Pho Chin Nam Gan,"$1,137.40",92
Pho,P8. Pho Tai Gan,"$1,008.00",80
Pho,P11. Pho Tai Sach,$755.00,60
Bun/ Vermicelli,B1. Bun Tom Thit Nuong Cha Gio,"$9,673.65",747
Bun/ Vermicelli,B3. Bun Tom Nuong,"$2,282.45",191
Bun/ Vermicelli,B2. Bun Thit Nuong,"$2,103.20",176
Bun/ Vermicelli,B6. Bun Ga Nuong,"$1,828.35",153
Bun/ Vermicelli,B5. Bun Chay,"$1,529.60",128
Bun/ Vermicelli,B4. Bun Cha Gio,$454.10,38
Rice,C1. Com Thit Nuong Trung Op La,"$11,483.95",961
Rice,C2. Com Ga Nuong,"$2,856.05",239
Rice,C3. Con Chien Duong Chau,"$2,188.55",169
Appetizer,A3. Goi Cuon,"$4,747.05",959
Appetizer,A1. Cha Gio,"$4,503.00",1140
Appetizer,A7. Banh Mi Bo Kho,"$1,870.55",209
Appetizer,A6. Grilled Pork Banh Mi,$856.80,144
Appetizer,A4. Goi Cuon Chay,$584.10,118
Appetizer,Side Of Pho Broth,$84.00,42
Noodle Soup,K3. Bun Bo Hue,"$4,169.90",322
Noodle Soup,K1. Hu Tieu Bo Kho,"$3,807.30",294
