Category Name,Name,Gross Sales,Sold
Pho,P1. Pho Dac Biet,"$24,809.00",1730
Pho,P4. Pho Tai,"$13,696.00",972
Pho,P14. Pho Ga,"$12,509.50",881
Pho,P5. Pho Chin,"$6,377.50",453
Pho,P2. Pho Tai Nam Gau,"$5,631.00",398
Pho,P10. Pho Tai Gau,"$4,713.00",334
Pho,P6. Pho Chin Nam Gau,"$4,662.50",331
Pho,P12. Pho Tai Bo Vien,"$3,192.00",228
Pho,P13. Pho Bo Vien,"$2,179.00",195
Pho,P3. Pho Tai Nam Gan,"$1,500.50",107
Pho,P7. Pho Chin Nam Gan,"$1,024.00",72
Pho,P8. Pho Tai Gan,$932.50,67
Pho,P9. Pho Tai Nam,$811.00,58
Pho,P11. Pho Tai Sach,$554.50,39
Rice,C1. Com Thit Nuong Trung Op La,"$11,299.50",837
Rice,C4. Com Chien,"$4,257.00",300
Rice,C3. Con Chien Duong Chau,"$3,543.15",237
Rice,C2. Com Ga Nuong,"$3,388.50",251
Appetizer,A2. Goi Cuon,"$6,634.25",1115
Appetizer,A1. Cha Gio,"$5,103.45",1031
Appetizer,A6. Grilled Pork Banh Mi,"$4,380.45",551
Appetizer,Canh Ga Chien Nuoc Mam,"$1,463.35",113
Appetizer,A3. Goi Cuon Chay,"$1,054.35",213
Appetizer,A4.  Banh Mi Bo Kho,$815.90,82
Appetizer,Side Of Pho Broth,$141.50,49
Noodle Soup,K3. Bun Bo Hue,"$10,114.00",614
Noodle Soup,K1. Hu Tieu Bo Kho,"$4,703.50",295
Bun/ Vermicelli,B1. Bun Tom Thit Nuong Cha Gio,"$6,688.00",418
Bun/ Vermicelli,B2. Bun Thit Nuong,"$2,322.00",172
Bun/ Vermicelli,B6. Bun Ga Nuong,"$1,849.50",137
Bun/ Vermicelli,B5. Bun Chay,"$1,254.75",105
Bun/ Vermicelli,B3. Bun Tom Nuong,"$1,120.50",83
Bun/ Vermicelli,B4. Bun Cha Gio,$243.00,18
Stir Fry,S3. Hu Tieu Xao,"$5,803.50",410
Stir Fry,S2. Rao Cai Xao,"$2,423.55",169
Stir Fry,S1. Ga Xao Xa Ot,"$1,339.20",96
